,"CountVectorizer(ngram_range=(1, 1))","CountVectorizer(ngram_range=(2, 2))","CountVectorizer(ngram_range=(1, 2))","HashingVectorizer(ngram_range=(1, 1))","HashingVectorizer(ngram_range=(2, 2))","HashingVectorizer(ngram_range=(1, 2))","TfidfVectorizer(ngram_range=(1, 1))","TfidfVectorizer(ngram_range=(2, 2))","TfidfVectorizer(ngram_range=(1, 2))"
CalibratedClassifierCV,18% (2 ms / 0 ms),18% (3 ms / 0 ms),18% (2 ms / 0 ms),18% (14 ms / 0 ms),21% (11 ms / 0 ms),18% (12 ms / 0 ms),22% (2 ms / 0 ms),18% (3 ms / 0 ms),24% (3 ms / 0 ms)
LinearDiscriminantAnalysis,17% (1 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms),17% (152 ms / 0 ms),17% (154 ms / 0 ms),17% (154 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms)
DummyClassifier,17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms)
AdaBoostClassifier,19% (10 ms / 0 ms),18% (12 ms / 0 ms),19% (16 ms / 0 ms),18% (3139 ms / 0 ms),17% (3073 ms / 0 ms),19% (3208 ms / 0 ms),18% (10 ms / 0 ms),16% (12 ms / 0 ms),18% (16 ms / 0 ms)
BaggingClassifier,18% (2 ms / 0 ms),17% (4 ms / 0 ms),18% (4 ms / 0 ms),19% (619 ms / 0 ms),17% (631 ms / 0 ms),18% (645 ms / 0 ms),17% (3 ms / 0 ms),15% (4 ms / 0 ms),18% (5 ms / 0 ms)
ExtraTreesClassifier,17% (9 ms / 0 ms),17% (9 ms / 0 ms),17% (9 ms / 0 ms),18% (125 ms / 0 ms),17% (108 ms / 0 ms),17% (81 ms / 0 ms),19% (9 ms / 0 ms),17% (9 ms / 0 ms),17% (10 ms / 0 ms)
GradientBoostingClassifier,20% (62 ms / 0 ms),18% (122 ms / 0 ms),19% (125 ms / 0 ms),19% (19227 ms / 0 ms),17% (20835 ms / 0 ms),18% (20073 ms / 0 ms),18% (58 ms / 0 ms),18% (106 ms / 0 ms),18% (121 ms / 0 ms)
RandomForestClassifier,21% (10 ms / 0 ms),20% (11 ms / 0 ms),21% (11 ms / 0 ms),18% (90 ms / 0 ms),17% (83 ms / 0 ms),17% (64 ms / 0 ms),18% (10 ms / 0 ms),19% (10 ms / 0 ms),19% (11 ms / 0 ms)
GaussianProcessClassifier,17% (3 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms),-,-,-,17% (4 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms)
LogisticRegression,19% (4 ms / 0 ms),17% (2 ms / 0 ms),19% (15 ms / 0 ms),22% (547 ms / 0 ms),17% (527 ms / 0 ms),21% (472 ms / 0 ms),21% (1 ms / 0 ms),17% (1 ms / 0 ms),19% (3 ms / 0 ms)
LogisticRegressionCV,-,-,-,-,-,-,-,-,-
