,"CountVectorizer(ngram_range=(1, 1))","CountVectorizer(ngram_range=(2, 2))","CountVectorizer(ngram_range=(1, 2))","HashingVectorizer(ngram_range=(1, 1))","HashingVectorizer(ngram_range=(2, 2))","HashingVectorizer(ngram_range=(1, 2))","TfidfVectorizer(ngram_range=(1, 1))","TfidfVectorizer(ngram_range=(2, 2))","TfidfVectorizer(ngram_range=(1, 2))"
PassiveAggressiveClassifier,23% (2 ms / 0 ms),21% (1 ms / 0 ms),22% (1 ms / 0 ms),23% (6 ms / 0 ms),24% (4 ms / 0 ms),22% (5 ms / 0 ms),25% (0 ms / 0 ms),26% (1 ms / 0 ms),24% (1 ms / 0 ms)
Perceptron,23% (0 ms / 0 ms),26% (0 ms / 0 ms),23% (1 ms / 0 ms),23% (4 ms / 0 ms),26% (4 ms / 0 ms),24% (4 ms / 0 ms),27% (0 ms / 0 ms),27% (1 ms / 0 ms),28% (1 ms / 0 ms)
RidgeClassifier,19% (2 ms / 0 ms),17% (1 ms / 0 ms),18% (1 ms / 0 ms),23% (25 ms / 0 ms),17% (22 ms / 0 ms),23% (23 ms / 0 ms),24% (1 ms / 0 ms),22% (1 ms / 0 ms),22% (1 ms / 0 ms)
RidgeClassifierCV,19% (2 ms / 0 ms),17% (1 ms / 0 ms),18% (1 ms / 0 ms),23% (15 ms / 0 ms),23% (13 ms / 0 ms),23% (13 ms / 0 ms),26% (1 ms / 0 ms),25% (1 ms / 0 ms),25% (1 ms / 0 ms)
SGDClassifier,22% (2 ms / 0 ms),25% (1 ms / 0 ms),23% (1 ms / 0 ms),22% (4 ms / 0 ms),20% (4 ms / 0 ms),24% (4 ms / 0 ms),28% (1 ms / 0 ms),26% (1 ms / 0 ms),28% (1 ms / 0 ms)
BernoulliNB,17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms),17% (5 ms / 0 ms),17% (5 ms / 0 ms),17% (5 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms)
CategoricalNB,-,-,-,-,-,-,17% (14 ms / 0 ms),-,17% (25 ms / 0 ms)
ComplementNB,27% (2 ms / 0 ms),27% (0 ms / 0 ms),27% (1 ms / 0 ms),-,-,-,25% (0 ms / 0 ms),26% (1 ms / 0 ms),25% (1 ms / 0 ms)
GaussianNB,24% (2 ms / 0 ms),26% (0 ms / 0 ms),25% (1 ms / 0 ms),-,-,-,25% (2 ms / 0 ms),25% (1 ms / 0 ms),25% (2 ms / 0 ms)
MultinomialNB,25% (1 ms / 0 ms),25% (0 ms / 0 ms),25% (1 ms / 0 ms),-,-,-,18% (0 ms / 0 ms),19% (0 ms / 0 ms),18% (1 ms / 0 ms)
KNeighborsClassifier,17% (1 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms),20% (0 ms / 0 ms),22% (0 ms / 0 ms),19% (0 ms / 0 ms),22% (0 ms / 0 ms),23% (0 ms / 0 ms),22% (1 ms / 0 ms)
NearestCentroid,18% (2 ms / 0 ms),17% (0 ms / 0 ms),18% (1 ms / 0 ms),22% (2 ms / 0 ms),23% (2 ms / 0 ms),22% (2 ms / 0 ms),26% (0 ms / 0 ms),25% (0 ms / 0 ms),26% (1 ms / 0 ms)
MLPClassifier,24% (9 ms / 0 ms),23% (22 ms / 0 ms),27% (24 ms / 0 ms),24% (51715 ms / 0 ms),18% (42701 ms / 0 ms),23% (42501 ms / 0 ms),27% (29 ms / 0 ms),25% (76 ms / 0 ms),29% (114 ms / 0 ms)
LinearSVC,23% (2 ms / 0 ms),20% (1 ms / 0 ms),22% (1 ms / 0 ms),23% (2 ms / 0 ms),20% (2 ms / 0 ms),23% (2 ms / 0 ms),25% (0 ms / 0 ms),24% (1 ms / 0 ms),24% (1 ms / 0 ms)
NuSVC,-,-,-,-,-,-,-,-,-
SVC,18% (1 ms / 0 ms),17% (1 ms / 0 ms),18% (1 ms / 0 ms),22% (1 ms / 0 ms),17% (1 ms / 0 ms),21% (1 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms)
DecisionTreeClassifier,18% (3 ms / 0 ms),17% (1 ms / 0 ms),18% (1 ms / 0 ms),18% (65 ms / 0 ms),17% (68 ms / 0 ms),18% (64 ms / 0 ms),17% (0 ms / 0 ms),16% (1 ms / 0 ms),17% (1 ms / 0 ms)
ExtraTreeClassifier,19% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms),16% (1 ms / 0 ms),17% (0 ms / 0 ms),15% (0 ms / 0 ms),17% (1 ms / 0 ms)
