,"CountVectorizer(ngram_range=(1, 1))","CountVectorizer(ngram_range=(2, 2))","CountVectorizer(ngram_range=(1, 2))","HashingVectorizer(ngram_range=(1, 1))","HashingVectorizer(ngram_range=(2, 2))","HashingVectorizer(ngram_range=(1, 2))","TfidfVectorizer(ngram_range=(1, 1))","TfidfVectorizer(ngram_range=(2, 2))","TfidfVectorizer(ngram_range=(1, 2))"
CalibratedClassifierCV,41% (1 ms / 0 ms),34% (1 ms / 0 ms),39% (1 ms / 0 ms),49% (5 ms / 0 ms),43% (6 ms / 0 ms),49% (6 ms / 0 ms),63% (1 ms / 0 ms),44% (1 ms / 0 ms),62% (2 ms / 0 ms)
LinearDiscriminantAnalysis,17% (2 ms / 0 ms),17% (2 ms / 0 ms),17% (2 ms / 0 ms),17% (202 ms / 0 ms),17% (206 ms / 0 ms),17% (194 ms / 0 ms),17% (1 ms / 0 ms),17% (2 ms / 0 ms),17% (2 ms / 0 ms)
DummyClassifier,17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms)
AdaBoostClassifier,23% (4 ms / 0 ms),21% (7 ms / 0 ms),27% (10 ms / 0 ms),24% (636 ms / 0 ms),21% (651 ms / 0 ms),26% (646 ms / 0 ms),26% (5 ms / 0 ms),23% (7 ms / 0 ms),24% (10 ms / 0 ms)
BaggingClassifier,35% (4 ms / 0 ms),34% (6 ms / 0 ms),37% (8 ms / 0 ms),33% (155 ms / 0 ms),33% (163 ms / 0 ms),31% (159 ms / 0 ms),35% (3 ms / 0 ms),23% (6 ms / 0 ms),33% (9 ms / 0 ms)
ExtraTreesClassifier,32% (4 ms / 0 ms),23% (6 ms / 0 ms),31% (6 ms / 0 ms),34% (97 ms / 0 ms),17% (76 ms / 0 ms),17% (64 ms / 0 ms),35% (4 ms / 0 ms),20% (5 ms / 0 ms),30% (6 ms / 0 ms)
GradientBoostingClassifier,36% (154 ms / 0 ms),23% (241 ms / 0 ms),35% (433 ms / 0 ms),36% (8809 ms / 0 ms),29% (8398 ms / 0 ms),34% (8848 ms / 0 ms),32% (157 ms / 0 ms),22% (244 ms / 0 ms),27% (395 ms / 0 ms)
RandomForestClassifier,29% (4 ms / 0 ms),17% (5 ms / 0 ms),26% (6 ms / 0 ms),36% (82 ms / 0 ms),20% (62 ms / 0 ms),23% (54 ms / 0 ms),32% (4 ms / 0 ms),22% (5 ms / 0 ms),36% (5 ms / 0 ms)
GaussianProcessClassifier,17% (3 ms / 2 ms),24% (4 ms / 3 ms),17% (5 ms / 4 ms),-,-,-,17% (4 ms / 2 ms),17% (4 ms / 3 ms),17% (5 ms / 4 ms)
LogisticRegression,45% (8 ms / 0 ms),35% (5 ms / 0 ms),41% (13 ms / 0 ms),18% (313 ms / 0 ms),17% (263 ms / 0 ms),17% (288 ms / 0 ms),18% (2 ms / 0 ms),17% (2 ms / 0 ms),17% (4 ms / 0 ms)
LogisticRegressionCV,48% (128 ms / 0 ms),40% (145 ms / 0 ms),45% (327 ms / 0 ms),45% (16729 ms / 0 ms),17% (14424 ms / 0 ms),31% (15917 ms / 0 ms),46% (63 ms / 0 ms),17% (105 ms / 0 ms),17% (175 ms / 0 ms)
PassiveAggressiveClassifier,51% (1 ms / 0 ms),42% (0 ms / 0 ms),47% (1 ms / 0 ms),53% (2 ms / 0 ms),32% (2 ms / 0 ms),45% (2 ms / 0 ms),51% (0 ms / 0 ms),41% (0 ms / 0 ms),42% (1 ms / 0 ms)
Perceptron,44% (0 ms / 0 ms),48% (0 ms / 0 ms),45% (1 ms / 0 ms),43% (2 ms / 0 ms),48% (2 ms / 0 ms),43% (2 ms / 0 ms),60% (0 ms / 0 ms),48% (0 ms / 0 ms),62% (1 ms / 0 ms)
RidgeClassifier,49% (1 ms / 0 ms),38% (1 ms / 0 ms),44% (1 ms / 0 ms),39% (9 ms / 0 ms),17% (7 ms / 0 ms),31% (9 ms / 0 ms),36% (0 ms / 0 ms),24% (0 ms / 0 ms),28% (1 ms / 0 ms)
RidgeClassifierCV,49% (1 ms / 0 ms),38% (1 ms / 0 ms),44% (1 ms / 0 ms),52% (3 ms / 0 ms),21% (3 ms / 0 ms),45% (3 ms / 0 ms),54% (0 ms / 0 ms),36% (1 ms / 0 ms),46% (1 ms / 0 ms)
SGDClassifier,42% (1 ms / 0 ms),45% (0 ms / 0 ms),52% (1 ms / 0 ms),55% (2 ms / 0 ms),38% (2 ms / 0 ms),57% (2 ms / 0 ms),65% (0 ms / 0 ms),50% (0 ms / 0 ms),62% (1 ms / 0 ms)
BernoulliNB,17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms),17% (2 ms / 0 ms),17% (2 ms / 0 ms),17% (2 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms)
CategoricalNB,-,-,-,-,-,-,17% (11 ms / 0 ms),-,17% (27 ms / 1 ms)
ComplementNB,63% (0 ms / 0 ms),50% (0 ms / 0 ms),60% (1 ms / 0 ms),-,-,-,48% (0 ms / 0 ms),49% (0 ms / 0 ms),45% (1 ms / 0 ms)
GaussianNB,51% (0 ms / 0 ms),47% (0 ms / 1 ms),52% (1 ms / 1 ms),-,-,-,54% (1 ms / 0 ms),46% (0 ms / 1 ms),54% (1 ms / 1 ms)
MultinomialNB,42% (0 ms / 0 ms),41% (0 ms / 0 ms),38% (0 ms / 0 ms),-,-,-,17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms)
KNeighborsClassifier,20% (0 ms / 0 ms),17% (0 ms / 0 ms),18% (1 ms / 0 ms),34% (0 ms / 0 ms),44% (0 ms / 0 ms),36% (0 ms / 1 ms),49% (0 ms / 0 ms),45% (0 ms / 0 ms),51% (1 ms / 0 ms)
NearestCentroid,42% (1 ms / 0 ms),32% (0 ms / 0 ms),39% (1 ms / 0 ms),44% (1 ms / 0 ms),17% (1 ms / 0 ms),31% (1 ms / 0 ms),37% (0 ms / 0 ms),24% (0 ms / 0 ms),29% (1 ms / 0 ms)
MLPClassifier,47% (13 ms / 0 ms),44% (22 ms / 0 ms),32% (23 ms / 0 ms),58% (12601 ms / 0 ms),47% (11283 ms / 0 ms),49% (10162 ms / 0 ms),62% (47 ms / 0 ms),48% (73 ms / 0 ms),61% (99 ms / 0 ms)
LinearSVC,52% (0 ms / 0 ms),44% (0 ms / 0 ms),49% (1 ms / 0 ms),45% (1 ms / 0 ms),19% (1 ms / 0 ms),39% (1 ms / 0 ms),46% (0 ms / 0 ms),29% (0 ms / 0 ms),37% (1 ms / 0 ms)
NuSVC,-,-,-,-,-,-,-,-,-
SVC,28% (0 ms / 0 ms),23% (1 ms / 0 ms),29% (1 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms),17% (1 ms / 0 ms)
DecisionTreeClassifier,42% (1 ms / 0 ms),26% (1 ms / 0 ms),41% (2 ms / 0 ms),31% (19 ms / 0 ms),27% (20 ms / 0 ms),31% (20 ms / 0 ms),28% (1 ms / 0 ms),23% (1 ms / 0 ms),23% (2 ms / 0 ms)
ExtraTreeClassifier,21% (0 ms / 0 ms),27% (0 ms / 0 ms),28% (1 ms / 0 ms),21% (1 ms / 0 ms),18% (1 ms / 0 ms),18% (1 ms / 0 ms),25% (0 ms / 0 ms),21% (0 ms / 0 ms),35% (1 ms / 0 ms)
