,"CountVectorizer(ngram_range=(1, 1))","CountVectorizer(ngram_range=(2, 2))","CountVectorizer(ngram_range=(1, 2))","HashingVectorizer(ngram_range=(1, 1))","HashingVectorizer(ngram_range=(2, 2))","HashingVectorizer(ngram_range=(1, 2))","TfidfVectorizer(ngram_range=(1, 1))","TfidfVectorizer(ngram_range=(2, 2))","TfidfVectorizer(ngram_range=(1, 2))"
CalibratedClassifierCV,83% (1 ms / 0 ms),77% (1 ms / 0 ms),82% (1 ms / 0 ms),82% (1 ms / 0 ms),76% (1 ms / 0 ms),82% (1 ms / 0 ms),86% (1 ms / 0 ms),81% (1 ms / 0 ms),86% (1 ms / 0 ms)
LinearDiscriminantAnalysis,58% (6 ms / 0 ms),27% (19 ms / 0 ms),37% (26 ms / 0 ms),62% (411 ms / 0 ms),28% (371 ms / 0 ms),41% (399 ms / 0 ms),65% (6 ms / 0 ms),40% (20 ms / 0 ms),49% (28 ms / 0 ms)
DummyClassifier,17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (1 ms / 0 ms)
AdaBoostClassifier,51% (2 ms / 0 ms),40% (6 ms / 0 ms),50% (8 ms / 0 ms),43% (71 ms / 0 ms),41% (74 ms / 0 ms),39% (77 ms / 0 ms),33% (3 ms / 0 ms),38% (6 ms / 0 ms),39% (9 ms / 0 ms)
BaggingClassifier,60% (6 ms / 0 ms),55% (16 ms / 0 ms),58% (18 ms / 0 ms),59% (40 ms / 0 ms),51% (54 ms / 0 ms),59% (52 ms / 0 ms),59% (6 ms / 0 ms),49% (16 ms / 0 ms),58% (18 ms / 0 ms)
ExtraTreesClassifier,78% (5 ms / 0 ms),65% (9 ms / 0 ms),75% (9 ms / 0 ms),79% (79 ms / 0 ms),63% (57 ms / 0 ms),78% (49 ms / 1 ms),79% (4 ms / 0 ms),66% (9 ms / 0 ms),75% (9 ms / 0 ms)
GradientBoostingClassifier,75% (87 ms / 0 ms),65% (257 ms / 0 ms),74% (342 ms / 0 ms),72% (946 ms / 0 ms),64% (1145 ms / 0 ms),72% (1277 ms / 0 ms),74% (105 ms / 0 ms),59% (255 ms / 0 ms),71% (379 ms / 0 ms)
RandomForestClassifier,73% (3 ms / 0 ms),61% (6 ms / 0 ms),71% (7 ms / 0 ms),75% (47 ms / 0 ms),58% (36 ms / 0 ms),74% (31 ms / 0 ms),73% (3 ms / 0 ms),55% (6 ms / 0 ms),69% (6 ms / 0 ms)
GaussianProcessClassifier,18% (75 ms / 71 ms),19% (241 ms / 237 ms),17% (316 ms / 317 ms),-,-,-,82% (76 ms / 73 ms),66% (242 ms / 243 ms),79% (317 ms / 311 ms)
LogisticRegression,81% (4 ms / 0 ms),70% (4 ms / 0 ms),79% (13 ms / 0 ms),76% (64 ms / 0 ms),70% (45 ms / 0 ms),75% (51 ms / 0 ms),85% (1 ms / 0 ms),77% (3 ms / 0 ms),84% (4 ms / 0 ms)
LogisticRegressionCV,82% (103 ms / 0 ms),71% (112 ms / 0 ms),81% (331 ms / 0 ms),82% (3080 ms / 0 ms),75% (2221 ms / 0 ms),82% (2914 ms / 0 ms),87% (61 ms / 0 ms),80% (137 ms / 0 ms),86% (208 ms / 0 ms)
PassiveAggressiveClassifier,82% (0 ms / 0 ms),73% (0 ms / 0 ms),82% (1 ms / 0 ms),83% (0 ms / 0 ms),76% (0 ms / 0 ms),83% (1 ms / 0 ms),86% (0 ms / 0 ms),81% (0 ms / 0 ms),86% (1 ms / 0 ms)
Perceptron,80% (0 ms / 0 ms),70% (1 ms / 0 ms),76% (1 ms / 0 ms),81% (0 ms / 0 ms),76% (0 ms / 0 ms),80% (0 ms / 0 ms),84% (0 ms / 0 ms),77% (0 ms / 0 ms),84% (1 ms / 0 ms)
RidgeClassifier,83% (1 ms / 0 ms),71% (1 ms / 0 ms),81% (1 ms / 0 ms),82% (2 ms / 0 ms),73% (1 ms / 0 ms),81% (2 ms / 0 ms),86% (0 ms / 0 ms),80% (1 ms / 0 ms),85% (1 ms / 0 ms)
RidgeClassifierCV,83% (1 ms / 0 ms),71% (1 ms / 0 ms),81% (1 ms / 0 ms),84% (1 ms / 0 ms),76% (1 ms / 0 ms),83% (1 ms / 0 ms),87% (1 ms / 0 ms),81% (1 ms / 0 ms),86% (1 ms / 0 ms)
SGDClassifier,78% (0 ms / 0 ms),71% (1 ms / 0 ms),76% (1 ms / 0 ms),83% (0 ms / 0 ms),77% (0 ms / 0 ms),83% (0 ms / 0 ms),86% (0 ms / 0 ms),80% (0 ms / 0 ms),86% (1 ms / 0 ms)
BernoulliNB,68% (0 ms / 0 ms),36% (1 ms / 0 ms),52% (1 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),17% (0 ms / 0 ms),68% (0 ms / 0 ms),36% (0 ms / 0 ms),52% (1 ms / 0 ms)
CategoricalNB,-,-,-,-,-,-,17% (6 ms / 1 ms),17% (22 ms / 3 ms),17% (29 ms / 3 ms)
ComplementNB,87% (0 ms / 0 ms),82% (0 ms / 0 ms),86% (1 ms / 0 ms),-,-,-,84% (0 ms / 0 ms),80% (0 ms / 0 ms),84% (1 ms / 0 ms)
GaussianNB,83% (1 ms / 1 ms),78% (2 ms / 5 ms),83% (2 ms / 6 ms),-,-,-,82% (1 ms / 1 ms),78% (2 ms / 4 ms),84% (2 ms / 6 ms)
MultinomialNB,82% (0 ms / 0 ms),79% (0 ms / 0 ms),82% (1 ms / 0 ms),-,-,-,78% (0 ms / 0 ms),74% (0 ms / 0 ms),78% (1 ms / 0 ms)
KNeighborsClassifier,37% (0 ms / 0 ms),17% (0 ms / 0 ms),26% (1 ms / 0 ms),59% (0 ms / 1 ms),72% (0 ms / 2 ms),59% (0 ms / 5 ms),81% (0 ms / 1 ms),76% (1 ms / 1 ms),81% (1 ms / 3 ms)
NearestCentroid,55% (0 ms / 0 ms),62% (1 ms / 0 ms),57% (1 ms / 0 ms),69% (0 ms / 0 ms),69% (0 ms / 0 ms),70% (0 ms / 0 ms),84% (0 ms / 0 ms),80% (0 ms / 0 ms),84% (1 ms / 0 ms)
MLPClassifier,86% (12 ms / 0 ms),81% (38 ms / 0 ms),85% (37 ms / 0 ms),86% (2634 ms / 0 ms),79% (2436 ms / 0 ms),86% (2049 ms / 0 ms),87% (48 ms / 0 ms),81% (136 ms / 0 ms),86% (158 ms / 0 ms)
LinearSVC,83% (0 ms / 0 ms),73% (1 ms / 0 ms),82% (1 ms / 0 ms),83% (0 ms / 0 ms),75% (0 ms / 0 ms),82% (0 ms / 0 ms),87% (0 ms / 0 ms),80% (1 ms / 0 ms),86% (1 ms / 0 ms)
NuSVC,72% (1 ms / 1 ms),30% (2 ms / 1 ms),67% (2 ms / 1 ms),78% (1 ms / 1 ms),70% (1 ms / 1 ms),77% (2 ms / 2 ms),85% (1 ms / 1 ms),77% (1 ms / 1 ms),84% (2 ms / 1 ms)
SVC,69% (1 ms / 1 ms),25% (2 ms / 1 ms),62% (2 ms / 1 ms),77% (1 ms / 1 ms),61% (1 ms / 1 ms),75% (2 ms / 2 ms),85% (1 ms / 1 ms),55% (2 ms / 1 ms),81% (2 ms / 1 ms)
DecisionTreeClassifier,55% (1 ms / 0 ms),55% (3 ms / 0 ms),54% (3 ms / 0 ms),51% (4 ms / 0 ms),47% (7 ms / 0 ms),52% (7 ms / 0 ms),52% (1 ms / 0 ms),50% (3 ms / 0 ms),50% (3 ms / 0 ms)
ExtraTreeClassifier,39% (0 ms / 0 ms),44% (1 ms / 0 ms),47% (1 ms / 0 ms),42% (1 ms / 0 ms),37% (1 ms / 0 ms),36% (1 ms / 0 ms),38% (0 ms / 0 ms),43% (0 ms / 0 ms),43% (1 ms / 0 ms)
